Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru
Ada Yüzgeç,TUR,FW,16.0,Galatasaray,TUR-Super Lig,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,100,34.0,70.01
Adam Armstrong,ENG,"FW,MF",28.0,Wolves,ENG-Premier League,1140,12.67,2,2,0.16,0.16,6,5,4,1,3,0,0.0,0.0,0.0,100,40,38.0,32.0
Adam Boayar,MAR,MF,19.0,Elche,ESP-La Liga,104,1.16,1,0,0.86,0.0,2,2,2,1,0,0,0.0,0.0,0.0,95,40,38.0,28.37
Adam Buksa,POL,FW,29.0,Udinese,ITA-Serie A,922,10.24,3,0,0.29,0.0,6,1,8,3,3,0,0.0,0.0,0.0,90,40,48.28,30.55
Adam Daghim,DEN,"MF,FW",19.0,Wolfsburg,GER-Bundesliga,1364,15.16,2,3,0.13,0.2,9,20,20,11,3,0,0.0,0.0,0.0,90,40,34.0,33.35
Adam Dźwigała,POL,DF,29.0,St Pauli,GER-Bundesliga,1288,14.31,1,1,0.07,0.07,2,2,27,25,5,0,0.0,0.0,0.0,90,40,34.0,33.05
Adam Hložek,CZE,"FW,MF",23.0,Hoffenheim,GER-Bundesliga,41,0.46,0,0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.16
Adam Karabec,CZE,"MF,FW",22.0,Lyon,FRA-Ligue 1,922,10.24,1,0,0.1,0.0,5,80,3,1,3,0,0.0,0.0,0.0,85,70,34.0,55.32
Adam Kölle,GER,DF,19.0,Heidenheim,GER-Bundesliga,93,1.03,1,0,0.97,0.0,1,1,1,1,1,0,0.0,0.0,0.0,90,40,34.0,28.36
Adam Marušić,MNE,DF,32.0,Lazio,ITA-Serie A,2778,30.87,1,2,0.03,0.06,7,35,16,33,1,1,0.0,0.0,0.0,90,75,48.28,66.89
Adam Masina,MAR,DF,31.0,Torino,ITA-Serie A,235,2.61,0,1,0.0,0.38,0,0,4,5,0,0,0.0,0.0,0.0,90,40,48.28,28.65
Adam Obert,SVK,"DF,MF",22.0,Cagliari,ITA-Serie A,2771,30.79,0,3,0.0,0.1,3,69,32,44,10,1,0.0,0.0,0.0,90,40,48.28,35.65
Adam Smith,ENG,DF,34.0,Bournemouth,ENG-Premier League,1077,11.97,0,2,0.0,0.17,0,13,12,10,3,0,0.0,0.0,0.0,100,70,38.0,55.62
Adam Wharton,ENG,MF,21.0,Crystal Palace,ENG-Premier League,2552,28.36,1,5,0.04,0.18,6,86,36,27,6,1,0.0,0.0,0.0,100,70,38.0,64.67
Adama Boiro,ESP,DF,23.0,Athletic Club,ESP-La Liga,815,9.06,0,0,0.0,0.0,0,24,11,18,1,0,0.0,0.0,0.0,95,75,38.0,57.86
Adama Camara,FRA,"MF,DF",28.0,Paris FC,FRA-Ligue 1,2159,23.99,1,0,0.04,0.0,5,14,30,38,8,0,0.0,0.0,0.0,85,40,34.0,36.47
Adama Traoré,ESP,MF,29.0,Fulham,ENG-Premier League,395,4.39,0,0,0.0,0.0,1,27,2,0,1,0,0.0,0.0,0.0,100,40,38.0,29.39
Adama Traoré,MLI,"MF,FW",30.0,Gençlerbirliği,TUR-Super Lig,1070,11.89,2,1,0.17,0.08,6,11,7,4,4,0,0.0,0.0,0.0,90,40,34.0,32.2
Adamo Nagalo,BFA,DF,22.0,Konyaspor,TUR-Super Lig,598,6.64,0,0,0.0,0.0,0,0,5,6,4,1,0.0,0.0,0.0,90,40,34.0,30.34
Adem Arous,TUN,DF,21.0,Kasımpaşa,TUR-Super Lig,1670,18.56,1,0,0.05,0.0,1,4,22,24,2,0,0.0,0.0,0.0,90,40,34.0,34.55
Ademola Lookman,NGA,"FW,MF",27.0,Atalanta,ESP-La Liga,1412,15.69,6,0,0.38,0.0,13,33,6,4,1,0,0.0,0.0,0.0,95,75,38.0,61.79
Adil Demirbağ,TUR,DF,27.0,Konyaspor,TUR-Super Lig,2085,23.17,2,2,0.09,0.09,2,7,20,36,10,0,0.0,0.0,0.0,90,40,34.0,36.18
Adil Hamdani,FRA,MF,16.0,Lyon,FRA-Ligue 1,27,0.3,0,0,0.0,0.0,0,4,0,0,0,0,0.0,0.0,0.0,85,70,34.0,49.19
Adnan Januzaj,BEL,"MF,FW",30.0,Sevilla,ESP-La Liga,321,3.57,0,0,0.0,0.0,0,30,4,1,1,0,0.0,0.0,0.0,95,40,38.0,29.13
Adrian Beck,GER,MF,28.0,Heidenheim,GER-Bundesliga,868,9.64,1,1,0.1,0.1,4,15,17,3,1,0,0.0,0.0,0.0,90,40,34.0,31.4
Adrian Benedyczak,POL,FW,24.0,Kasımpaşa,ITA-Serie A,1645,18.28,11,2,0.6,0.11,21,21,15,5,2,0,0.0,0.0,0.0,90,40,48.28,32.54
Adrian Bernabe,ESP,MF,24.0,Parma,ITA-Serie A,2470,27.44,3,1,0.11,0.04,12,81,23,17,0,0,0.0,0.0,0.0,90,40,48.28,34.82
Adrian Przyborek,POL,MF,18.0,Lazio,ITA-Serie A,9,0.1,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,75,48.28,52.55
Adrian Šemper,CRO,GK,27.0,Pisa,ITA-Serie A,2250,25.0,0,0,0.0,0.0,0,0,0,0,0,0,82.0,4.0,42.0,90,40,48.28,34.21
Adrien Rabiot,FRA,MF,30.0,Milan,ITA-Serie A,2640,29.33,6,4,0.2,0.14,12,67,31,20,7,1,0.0,0.0,0.0,90,80,48.28,70.58
Adrien Tameze,CMR,DF,31.0,Torino,ITA-Serie A,1120,12.44,0,0,0.0,0.0,0,14,12,19,3,0,0.0,0.0,0.0,90,40,48.28,31.09
Adrien Thomasson,FRA,MF,31.0,Lens,FRA-Ligue 1,2683,29.81,3,9,0.1,0.3,13,121,56,20,11,0,0.0,0.0,0.0,85,70,34.0,67.41
Adrien Truffert,FRA,DF,23.0,Bournemouth,ENG-Premier League,3379,37.54,1,5,0.03,0.13,6,142,51,43,5,0,0.0,0.0,0.0,100,70,38.0,69.75
Adrià Altimira,ESP,"DF,MF",24.0,Villarreal,ESP-La Liga,9,0.1,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,95,75,38.0,52.56
Adrià Pedrosa,ESP,"DF,MF",27.0,Elche,ESP-La Liga,1096,12.18,1,1,0.08,0.08,3,54,19,16,4,0,0.0,0.0,0.0,95,40,38.0,31.85
Adrián,ESP,GK,38.0,Real Betis,ESP-La Liga,90,1.0,0,0,0.0,0.0,0,0,0,0,0,0,6.0,0.0,1.0,95,40,38.0,28.32
Adrián Liso,ESP,"FW,MF",20.0,Getafe,ESP-La Liga,1702,18.91,3,0,0.16,0.0,10,42,22,4,5,1,0.0,0.0,0.0,95,40,38.0,33.97
Adrián de la Fuente,ESP,DF,26.0,Levante,ESP-La Liga,2711,30.12,3,1,0.1,0.03,9,40,18,48,5,0,0.0,0.0,0.0,95,40,38.0,37.51
Afonso Moreira,POR,"MF,FW",20.0,Lyon,FRA-Ligue 1,1722,19.13,4,7,0.21,0.37,14,119,22,12,3,0,0.0,0.0,0.0,85,70,34.0,60.82
Afonso Sousa,POR,MF,25.0,Samsunspor,TUR-Super Lig,176,1.96,1,1,0.51,0.51,3,9,2,1,1,0,0.0,0.0,0.0,90,40,34.0,28.69
Agustín Albarracín,URU,FW,19.0,Cagliari,ITA-Serie A,33,0.37,0,0,0.0,0.0,0,2,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.09
Ahmed Ildiz,TUR,MF,28.0,Göztepe,TUR-Super Lig,50,0.56,0,0,0.0,0.0,0,0,1,1,1,0,0.0,0.0,0.0,90,40,34.0,28.2
Ahmed Kutucu,TUR,"FW,MF",25.0,Galatasaray,TUR-Super Lig,112,1.24,0,1,0.0,0.81,1,1,2,3,0,0,0.0,0.0,0.0,90,100,34.0,71.09
Ahmed Traore,CIV,MF,18.0,Karagümrük,TUR-Super Lig,390,4.33,1,0,0.23,0.0,4,3,5,2,1,0,0.0,0.0,0.0,90,40,34.0,29.53
Ahmet Dağdevir,TUR,MF,18.0,Konyaspor,TUR-Super Lig,25,0.28,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,90,40,34.0,28.1
Ahmet Doğan Yıldırım,TUR,GK,18.0,Trabzonspor,TUR-Super Lig,84,0.93,0,0,0.0,0.0,0,0,0,0,1,0,2.0,0.0,1.0,90,90,34.0,63.74
Ahmet Oğuz,TUR,DF,32.0,Kocaelispor,TUR-Super Lig,2144,23.82,0,2,0.0,0.08,2,119,48,42,10,0,0.0,0.0,0.0,90,40,34.0,36.41
Ahmet Sagat,GER,FW,29.0,Kocaelispor,TUR-Super Lig,2,0.02,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.01
Ahmet Sivri,TUR,"MF,FW",26.0,Karagümrük,TUR-Super Lig,299,3.32,0,0,0.0,0.0,3,7,2,4,0,0,0.0,0.0,0.0,90,40,34.0,29.17
Ahmet Tırpancı,TUR,DF,18.0,Konyaspor,TUR-Super Lig,1,0.01,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,90,40,34.0,28.0
Ahmet Şen,TUR,GK,26.0,Galatasaray,TUR-Super Lig,70,0.78,0,0,0.0,0.0,0,0,0,0,0,0,5.0,0.0,2.0,90,100,34.0,70.69
Aihen Muñoz,ESP,DF,27.0,Real Sociedad,ESP-La Liga,848,9.42,1,0,0.11,0.0,2,24,18,5,1,0,0.0,0.0,0.0,95,75,38.0,58.08
Aiman Dardari,LUX,MF,20.0,Augsburg,GER-Bundesliga,34,0.38,0,0,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,90,40,34.0,28.13
Aimar Oroz,ESP,"MF,FW",23.0,Osasuna,ESP-La Liga,2139,23.77,0,2,0.0,0.08,4,32,18,8,6,0,0.0,0.0,0.0,95,40,38.0,35.51
Ainsley Maitland-Niles,ENG,"DF,MF",27.0,Lyon,FRA-Ligue 1,2483,27.59,1,4,0.04,0.14,7,44,36,33,7,1,0.0,0.0,0.0,85,70,34.0,66.04
Aitor Fernández,ESP,GK,34.0,Osasuna,ESP-La Liga,136,1.51,0,0,0.0,0.0,0,0,0,0,3,0,9.0,0.0,3.0,95,40,38.0,28.48
Aitor Mañas,ESP,FW,22.0,Alavés,ESP-La Liga,122,1.36,0,0,0.0,0.0,1,0,2,1,0,0,0.0,0.0,0.0,95,40,38.0,28.43
Aitor Paredes,ESP,DF,25.0,Athletic Club,ESP-La Liga,1630,18.11,2,0,0.11,0.0,4,1,12,26,4,0,0.0,0.0,0.0,95,75,38.0,63.22
Aitor Ruibal,ESP,"DF,MF",29.0,Real Betis,ESP-La Liga,1808,20.09,4,2,0.2,0.1,12,31,32,20,6,1,0.0,0.0,0.0,95,40,38.0,34.34
Akor Adams,NGA,FW,25.0,Sevilla,ESP-La Liga,2064,22.93,10,3,0.44,0.13,30,17,4,1,3,0,0.0,0.0,0.0,95,40,38.0,35.24
Al-Musrati,LBY,MF,29.0,Hellas Verona,ITA-Serie A,844,9.38,0,1,0.0,0.11,1,2,7,11,6,1,0.0,0.0,0.0,90,40,48.28,30.33
Aladji Bamba,FRA,MF,19.0,Monaco,FRA-Ligue 1,816,9.07,0,2,0.0,0.22,1,4,20,8,2,0,0.0,0.0,0.0,85,70,34.0,54.6
Alan Matturro,URU,DF,20.0,Levante,ESP-La Liga,947,10.52,1,1,0.1,0.1,1,0,13,6,0,1,0.0,0.0,0.0,95,40,38.0,31.32
Alassane Diatta,SEN,MF,20.0,Villarreal,ESP-La Liga,25,0.28,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,95,75,38.0,52.67
Alassane Ndao,SEN,"MF,FW",28.0,Konyaspor,TUR-Super Lig,790,8.78,2,3,0.23,0.34,4,31,7,5,0,0,0.0,0.0,0.0,90,40,34.0,31.1
Albert Grønbaek,DEN,MF,24.0,Hamburger SV,ITA-Serie A,595,6.61,1,2,0.15,0.3,5,7,12,11,1,0,0.0,0.0,0.0,90,40,48.28,29.64
Albert Guðmundsson,ISL,"FW,MF",28.0,Fiorentina,ITA-Serie A,2250,25.0,5,4,0.2,0.16,15,54,4,3,4,1,0.0,0.0,0.0,90,40,48.28,34.21
Albert Sambi Lokonga,BEL,MF,25.0,Hamburger SV,GER-Bundesliga,1710,19.0,5,0,0.26,0.0,11,13,13,13,3,0,0.0,0.0,0.0,90,40,34.0,34.71
Alberto Dossena,ITA,DF,26.0,Cagliari,ITA-Serie A,859,9.54,0,1,0.0,0.1,2,0,13,9,5,0,0.0,0.0,0.0,90,40,48.28,30.37
Alberto Grassi,ITA,MF,30.0,Cremonese,ITA-Serie A,1753,19.48,0,0,0.0,0.0,4,3,11,35,4,1,0.0,0.0,0.0,90,40,48.28,32.84
Alberto Moleiro,ESP,MF,21.0,Villarreal,ESP-La Liga,2478,27.53,10,5,0.36,0.18,20,31,21,14,4,0,0.0,0.0,0.0,95,75,38.0,68.8
Alberto Moreno,ESP,DF,33.0,Como,ITA-Serie A,1233,13.7,2,1,0.15,0.07,4,34,12,7,4,0,0.0,0.0,0.0,90,40,48.28,31.41
Alberto Paleari,ITA,GK,32.0,Torino,ITA-Serie A,2610,29.0,0,0,0.0,0.0,0,0,0,1,1,0,82.0,9.0,45.0,90,40,48.28,35.21
Alberto Reina,ESP,MF,27.0,Oviedo,ESP-La Liga,2462,27.36,4,1,0.15,0.04,11,52,18,19,6,1,0.0,0.0,0.0,95,40,38.0,36.64
Albian Hajdari,KVX,DF,22.0,Hoffenheim,GER-Bundesliga,2434,27.04,1,2,0.04,0.07,4,19,38,42,10,0,0.0,0.0,0.0,90,40,34.0,37.54
Aleix Febas,ESP,MF,29.0,Elche,ESP-La Liga,3160,35.11,2,2,0.06,0.06,8,22,46,27,10,0,0.0,0.0,0.0,95,40,38.0,39.09
Aleix García,ESP,MF,28.0,Leverkusen,GER-Bundesliga,2667,29.63,3,8,0.1,0.27,5,123,20,22,6,0,0.0,0.0,0.0,90,85,34.0,81.72
Alejandro Balde,ESP,DF,21.0,Barcelona,ESP-La Liga,1869,20.77,0,2,0.0,0.1,1,25,21,6,2,0,0.0,0.0,0.0,95,100,38.0,86.4
Alejandro Francés,ESP,DF,22.0,Girona,ESP-La Liga,1116,12.4,0,2,0.0,0.16,4,24,15,16,2,1,0.0,0.0,0.0,95,75,38.0,59.84
Alejandro Garnacho,ARG,MF,21.0,Chelsea,ENG-Premier League,1268,14.09,1,4,0.07,0.28,7,61,13,4,2,0,0.0,0.0,0.0,100,80,38.0,64.9
Alejandro Mestanza,ESP,MF,20.0,Getafe,ESP-La Liga,71,0.79,0,0,0.0,0.0,0,4,1,0,0,0,0.0,0.0,0.0,95,40,38.0,28.25
Alejandro Rego,ESP,MF,22.0,Athletic Club,ESP-La Liga,1279,14.21,1,1,0.07,0.07,3,6,20,21,6,0,0.0,0.0,0.0,95,75,38.0,60.91
Alejo Sarco,ARG,FW,19.0,Leverkusen,GER-Bundesliga,127,1.41,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,85,34.0,60.56
Aleksa Puric,SRB,DF,22.0,Atlético Madrid,ESP-La Liga,46,0.51,0,0,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,95,92,38.0,64.77
Aleksandar Jovanović,SRB,GK,32.0,Kocaelispor,TUR-Super Lig,1575,17.5,0,0,0.0,0.0,0,0,0,0,3,0,32.0,6.0,18.0,90,40,34.0,34.18
Aleksandar Pavlovic,GER,MF,21.0,Bayern Munich,GER-Bundesliga,1462,16.24,3,1,0.18,0.06,5,15,15,13,2,0,0.0,0.0,0.0,90,100,34.0,84.33
Aleksandr Golovin,RUS,MF,29.0,Monaco,FRA-Ligue 1,1649,18.32,5,5,0.27,0.27,18,37,18,21,4,1,0.0,0.0,0.0,85,70,34.0,60.32
Alessandro Bastoni,ITA,DF,26.0,Inter,ITA-Serie A,2239,24.88,1,4,0.04,0.16,8,85,39,21,6,0,0.0,0.0,0.0,90,95,48.28,81.19
Alessandro Buongiorno,ITA,DF,26.0,Napoli,ITA-Serie A,2521,28.01,0,1,0.0,0.04,3,6,22,40,3,0,0.0,0.0,0.0,90,90,48.28,78.66
Alessandro Cardinali,ITA,FW,19.0,Parma,ITA-Serie A,45,0.5,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.12
Alessandro Circati,AUS,DF,21.0,Parma,ITA-Serie A,2664,29.6,1,0,0.03,0.0,1,5,25,27,6,0,0.0,0.0,0.0,90,40,48.28,35.36
Alessandro Deiola,ITA,"MF,DF",29.0,Cagliari,ITA-Serie A,1430,15.89,0,2,0.0,0.13,7,2,20,13,3,0,0.0,0.0,0.0,90,40,48.28,31.95
Alessandro Di Pardo,ITA,"DF,MF",26.0,Cagliari,ITA-Serie A,54,0.6,0,0,0.0,0.0,0,0,1,0,0,0,0.0,0.0,0.0,90,40,48.28,28.15
Alessandro Marcandalli,ITA,DF,22.0,Genoa,ITA-Serie A,2597,28.86,0,2,0.0,0.07,2,10,24,18,4,0,0.0,0.0,0.0,90,40,48.28,35.17
Alessandro Romano,SUI,MF,19.0,Roma,ITA-Serie A,8,0.09,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,75,48.28,52.54
Alessandro Zanoli,ITA,MF,24.0,Udinese,ITA-Serie A,1280,14.22,1,2,0.07,0.14,1,40,18,7,1,0,0.0,0.0,0.0,90,40,48.28,31.53
Alessio Castro-Montes,BEL,"MF,DF",28.0,Köln,GER-Bundesliga,672,7.47,1,3,0.13,0.4,1,57,17,5,2,0,0.0,0.0,0.0,90,40,34.0,30.64
Alessio Furlanetto,ITA,GK,23.0,Lazio,ITA-Serie A,180,2.0,0,0,0.0,0.0,0,0,0,0,0,0,7.0,0.0,3.0,90,75,48.28,53.43
Alessio Romagnoli,ITA,DF,30.0,Lazio,ITA-Serie A,2666,29.62,0,0,0.0,0.0,4,2,14,32,6,1,0.0,0.0,0.0,90,75,48.28,66.3
Alessio Zerbin,ITA,MF,26.0,Cremonese,ITA-Serie A,1646,18.29,0,3,0.0,0.16,7,58,20,3,1,0,0.0,0.0,0.0,90,40,48.28,32.55
Alex Freeman,USA,DF,20.0,Villarreal,ESP-La Liga,346,3.84,0,0,0.0,0.0,0,1,8,5,0,0,0.0,0.0,0.0,95,75,38.0,54.77
Alex Iwobi,NGA,MF,29.0,Fulham,ENG-Premier League,2419,26.88,4,3,0.15,0.11,15,88,18,15,3,0,0.0,0.0,0.0,100,40,38.0,36.49
Alex Král,CZE,MF,27.0,Union Berlin,GER-Bundesliga,459,5.1,0,0,0.0,0.0,3,13,5,2,1,0,0.0,0.0,0.0,90,40,34.0,29.8
Alex Meret,ITA,GK,28.0,Napoli,ITA-Serie A,979,10.88,0,1,0.0,0.09,0,0,0,1,1,0,21.0,4.0,12.0,90,90,48.28,69.08
Alex Murphy,IRL,DF,21.0,Newcastle,ENG-Premier League,9,0.1,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,100,75,38.0,52.56
Alex Padilla,ESP,GK,21.0,Athletic Club,ESP-La Liga,90,1.0,0,0,0.0,0.0,0,0,0,0,0,1,4.0,0.0,4.0,95,75,38.0,53.09
Alex Scott,ENG,MF,21.0,Bournemouth,ENG-Premier League,2849,31.66,3,1,0.09,0.03,13,88,38,35,5,0,0.0,0.0,0.0,100,70,38.0,66.5
Alex Sola,ESP,"DF,FW",26.0,Getafe,ESP-La Liga,13,0.14,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,95,40,38.0,28.04
Alex Tóth,HUN,MF,19.0,Bournemouth,ENG-Premier League,140,1.56,0,0,0.0,0.0,0,3,0,3,1,0,0.0,0.0,0.0,100,70,38.0,49.86
Alexander Djiku,GHA,"DF,MF",30.0,Fenerbahçe,TUR-Super Lig,1,0.01,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,90,100,34.0,70.01
Alexander Isak,SWE,FW,25.0,Liverpool,ENG-Premier League,699,7.77,3,1,0.39,0.13,6,2,6,0,0,0,0.0,0.0,0.0,100,95,38.0,72.33
Alexander Legendre,ECU,MF,17.0,Rennes,FRA-Ligue 1,45,0.5,0,0,0.0,0.0,0,3,0,0,0,0,0.0,0.0,0.0,85,40,34.0,28.18
Alexander Nübel,GER,GK,28.0,Stuttgart,GER-Bundesliga,3060,34.0,0,1,0.0,0.03,0,0,0,1,0,0,107.0,11.0,49.0,90,75,34.0,75.0
Alexander Prass,AUT,MF,24.0,Hoffenheim,GER-Bundesliga,1308,14.53,3,2,0.21,0.14,11,47,22,6,4,0,0.0,0.0,0.0,90,40,34.0,33.13
Alexander Røssing-Lelesiit,NOR,"FW,MF",18.0,Hamburger SV,GER-Bundesliga,321,3.57,0,1,0.0,0.28,2,4,2,1,3,1,0.0,0.0,0.0,90,40,34.0,29.26
Alexander Sørloth,NOR,FW,29.0,Atlético Madrid,ESP-La Liga,1980,22.0,13,0,0.59,0.0,35,10,7,0,4,1,0.0,0.0,0.0,95,92,38.0,80.38
Alexandre Alemão,BRA,FW,27.0,Rayo Vallecano,ESP-La Liga,1136,12.62,4,0,0.32,0.0,12,5,2,1,3,0,0.0,0.0,0.0,95,40,38.0,31.99
Alexandru Maxim,ROU,"MF,FW",35.0,Gaziantep,TUR-Super Lig,2680,29.78,5,7,0.17,0.24,15,172,18,18,7,0,0.0,0.0,0.0,90,40,34.0,38.51
Alexis Antunes,SUI,MF,25.0,Göztepe,TUR-Super Lig,690,7.67,1,1,0.13,0.13,8,33,11,7,2,0,0.0,0.0,0.0,90,40,34.0,30.71
Alexis Claude-Maurice,FRA,"MF,FW",27.0,Augsburg,GER-Bundesliga,2097,23.3,5,4,0.21,0.17,26,65,26,8,3,0,0.0,0.0,0.0,90,40,34.0,36.22
Alexis Mac Allister,ARG,MF,26.0,Liverpool,ENG-Premier League,2658,29.53,2,4,0.07,0.14,12,20,27,18,7,0,0.0,0.0,0.0,100,95,38.0,88.65
Alexis Saelemaekers,BEL,MF,26.0,Milan,ITA-Serie A,2788,30.98,3,3,0.1,0.1,11,82,38,30,5,0,0.0,0.0,0.0,90,80,48.28,71.4
Alexis Sánchez,CHI,"FW,MF",36.0,Sevilla,ESP-La Liga,1308,14.53,4,2,0.28,0.14,9,25,13,7,3,0,0.0,0.0,0.0,95,40,38.0,32.59
Alexis Vossah,FRA,MF,17.0,Toulouse,FRA-Ligue 1,1092,12.13,1,1,0.08,0.08,2,6,7,7,5,1,0.0,0.0,0.0,85,40,34.0,32.28
Alexsandro Ribeiro,BRA,DF,25.0,Lille,FRA-Ligue 1,509,5.66,0,0,0.0,0.0,2,1,9,11,0,1,0.0,0.0,0.0,85,70,34.0,52.5
Alfon,ESP,MF,26.0,Villarreal,ESP-La Liga,645,7.17,2,0,0.28,0.0,10,13,1,3,0,0,0.0,0.0,0.0,95,75,38.0,56.75
Alfonso Espino,URU,"DF,MF",33.0,Rayo Vallecano,ESP-La Liga,1486,16.51,2,0,0.12,0.0,9,49,33,15,3,0,0.0,0.0,0.0,95,40,38.0,33.21
Alfonso Pedraza,ESP,DF,29.0,Villarreal,ESP-La Liga,1689,18.77,1,3,0.05,0.16,3,84,31,29,8,0,0.0,0.0,0.0,95,75,38.0,63.61
Ali Abdi,TUN,"MF,DF",31.0,Nice,FRA-Ligue 1,1187,13.19,3,0,0.23,0.0,4,33,11,10,4,1,0.0,0.0,0.0,85,40,34.0,32.66
Ali Dembélé,FRA,DF,21.0,Torino,ITA-Serie A,21,0.23,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,48.28,28.06
Ali Demirbilek,TUR,FW,16.0,Antalyaspor,TUR-Super Lig,1,0.01,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.0
Ali Diabaté,CIV,DF,18.0,Samsunspor,TUR-Super Lig,210,2.33,0,1,0.0,0.43,1,0,5,9,2,0,0.0,0.0,0.0,90,40,34.0,28.82
Ali Emre Yanar,TUR,GK,27.0,Kasımpaşa,TUR-Super Lig,90,1.0,0,0,0.0,0.0,0,0,0,0,0,0,5.0,1.0,0.0,90,40,34.0,28.35
Ali Houary,MAR,MF,19.0,Elche,ESP-La Liga,123,1.37,0,0,0.0,0.0,0,0,2,1,0,0,0.0,0.0,0.0,95,40,38.0,28.43
Ali Kalın,TUR,FW,17.0,Gaziantep,TUR-Super Lig,47,0.52,0,0,0.0,0.0,0,1,1,2,0,0,0.0,0.0,0.0,90,40,34.0,28.18
Ali Karimi,IRN,MF,31.0,Kayserispor,TUR-Super Lig,41,0.46,0,0,0.0,0.0,0,1,2,0,0,0,0.0,0.0,0.0,90,40,34.0,28.16
Ali Sowe,GAM,FW,31.0,Rizespor,TUR-Super Lig,2284,25.38,8,4,0.32,0.16,17,2,5,3,3,0,0.0,0.0,0.0,90,40,34.0,36.96
Ali Yavuz Kol,TUR,MF,24.0,Kasımpaşa,TUR-Super Lig,719,7.99,0,0,0.0,0.0,3,44,19,6,3,0,0.0,0.0,0.0,90,40,34.0,30.82
Ali Yousuf,LBY,DF,24.0,Nantes,FRA-Ligue 1,969,10.77,0,0,0.0,0.0,1,1,7,18,4,0,0.0,0.0,0.0,85,40,34.0,31.8
Alidu Seidu,GHA,DF,25.0,Rennes,FRA-Ligue 1,1186,13.18,0,1,0.0,0.08,1,11,22,17,1,0,0.0,0.0,0.0,85,40,34.0,32.65
Alieu Fadera,GAM,FW,23.0,Sassuolo,ITA-Serie A,987,10.97,2,1,0.18,0.09,4,24,23,5,5,0,0.0,0.0,0.0,90,40,48.28,30.73
Alieu Njie,SWE,"MF,FW",20.0,Torino,ITA-Serie A,299,3.32,1,1,0.3,0.3,3,4,2,0,2,0,0.0,0.0,0.0,90,40,48.28,28.83
Alimami Gory,MLI,"MF,DF",28.0,Paris FC,FRA-Ligue 1,982,10.91,5,1,0.46,0.09,6,10,11,8,3,0,0.0,0.0,0.0,85,40,34.0,31.85
Alisson,BRA,GK,32.0,Liverpool,ENG-Premier League,2340,26.0,0,0,0.0,0.0,0,0,0,0,1,0,57.0,8.0,31.0,100,95,38.0,86.0
Alisson Santos,BRA,"MF,FW",22.0,Napoli,ITA-Serie A,834,9.27,4,0,0.43,0.0,16,42,8,2,1,0,0.0,0.0,0.0,90,90,48.28,68.18
Aljoscha Kemlein,GER,MF,20.0,Union Berlin,GER-Bundesliga,1959,21.77,0,2,0.0,0.09,2,9,25,18,4,0,0.0,0.0,0.0,90,40,34.0,35.68
Allan Godói,BRA,DF,32.0,Göztepe,TUR-Super Lig,1858,20.64,0,2,0.0,0.1,2,2,29,34,2,0,0.0,0.0,0.0,90,40,34.0,35.28
Allan Nyom,CMR,DF,37.0,Getafe,ESP-La Liga,523,5.81,0,1,0.0,0.17,1,8,6,1,6,1,0.0,0.0,0.0,95,40,38.0,29.83
Allan Saint-Maximin,FRA,MF,28.0,Lens,FRA-Ligue 1,410,4.56,3,3,0.66,0.66,3,24,0,0,0,0,0.0,0.0,0.0,85,70,34.0,51.82
Almugera Kabar,GER,DF,19.0,Dortmund,GER-Bundesliga,16,0.18,0,0,0.0,0.0,0,2,1,0,0,0,0.0,0.0,0.0,90,95,34.0,66.65
Alper Demirol,SWE,MF,22.0,Karagümrük,TUR-Super Lig,72,0.8,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.28
Alpha Touré,SEN,MF,19.0,Metz,FRA-Ligue 1,1606,17.84,0,1,0.0,0.06,1,13,23,10,5,0,0.0,0.0,0.0,85,40,34.0,34.3
