Player,Nation,Pos,Age,Team,League,Min,90s,Gls,Ast,per_90_Gls,per_90_Ast,SoT,Crs,TklW,Int,CrdY,CrdR,Saves,CS,GA,Lig_Puani,Takim_Puani,Lig_Max_90s,oynanabilirlik_skoru,Zorluk_Seviyesi
Junior Mwanga,FRA,"DF,MF",22.0,Nantes,FRA-Ligue 1,1637,18.19,1,1,0.05,0.05,3,9,22,9,2,1,0.0,0.0,0.0,85,40,34.0,34.42,Zor
Junior Olaitan,BEN,MF,23.0,Beşiktaş,TUR-Super Lig,2096,23.29,4,2,0.17,0.09,21,56,15,16,2,0,0.0,0.0,0.0,90,100,34.0,90.55,Kolay
Jure Balkovec,SVN,DF,30.0,Karagümrük,TUR-Super Lig,1511,16.79,0,0,0.0,0.0,3,30,12,14,7,1,0.0,0.0,0.0,90,40,34.0,33.93,Zor
Jurgen Ekkelenkamp,NED,MF,25.0,Udinese,ITA-Serie A,2186,24.29,5,3,0.21,0.12,15,32,27,18,1,0,0.0,0.0,0.0,90,40,48.28,34.04,Zor
Jurriën Timber,NED,DF,24.0,Arsenal,ENG-Premier League,2454,27.27,3,5,0.11,0.18,7,46,35,24,5,0,0.0,0.0,0.0,100,95,38.0,86.95,Kolay
Justin Bijlow,NED,GK,27.0,Genoa,ITA-Serie A,1395,15.5,0,0,0.0,0.0,0,0,0,0,1,0,45.0,5.0,20.0,90,40,48.28,31.85,Zor
Justin Bourgault,FRA,FW,19.0,Brest,FRA-Ligue 1,16,0.18,0,0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,85,40,34.0,28.06,Zor
Justin Devenny,NIR,"MF,FW",21.0,Crystal Palace,ENG-Premier League,796,8.84,1,0,0.11,0.0,4,17,11,1,0,0,0.0,0.0,0.0,100,70,38.0,53.89,Zor
Justin Kluivert,NED,MF,26.0,Bournemouth,ENG-Premier League,952,10.58,2,0,0.19,0.0,4,40,7,4,5,0,0.0,0.0,0.0,100,70,38.0,54.85,Zor
Justin Njinmah,GER,"FW,MF",24.0,Werder Bremen,GER-Bundesliga,1947,21.63,5,0,0.23,0.0,23,34,14,6,2,0,0.0,0.0,0.0,90,40,34.0,35.63,Zor
Justin-Noël Kalumba,FRA,FW,20.0,Angers,ESP-La Liga,305,3.39,0,0,0.0,0.0,0,17,4,1,0,0,0.0,0.0,0.0,95,40,38.0,29.07,Zor
Jusuf Gazibegović,BIH,DF,25.0,Köln,GER-Bundesliga,23,0.26,0,0,0.0,0.0,0,1,0,0,0,0,0.0,0.0,0.0,90,40,34.0,28.09,Zor
Jáder Durán,COL,FW,21.0,Fenerbahçe,TUR-Super Lig,542,6.02,3,2,0.5,0.33,6,3,3,0,2,0,0.0,0.0,0.0,90,100,34.0,75.31,Orta
Jérémy Jacquet,FRA,DF,20.0,Rennes,FRA-Ligue 1,1671,18.57,0,0,0.0,0.0,3,0,17,22,6,1,0.0,0.0,0.0,85,40,34.0,34.55,Zor
Jérôme Onguéné,CMR,DF,27.0,Eyüpspor,TUR-Super Lig,784,8.71,0,2,0.0,0.23,1,0,6,8,3,0,0.0,0.0,0.0,90,40,34.0,31.07,Zor
Jørgen Strand Larsen,NOR,FW,25.0,Wolves,ENG-Premier League,2307,25.63,4,1,0.16,0.04,14,3,2,4,4,0,0.0,0.0,0.0,100,40,38.0,36.09,Zor
Kaan Akyazi,TUR,FW,19.0,Konyaspor,TUR-Super Lig,25,0.28,0,0,0.0,0.0,0,1,2,0,0,0,0.0,0.0,0.0,90,40,34.0,28.1,Zor
Kaan Ayhan,TUR,"MF,DF",30.0,Galatasaray,TUR-Super Lig,394,4.38,1,0,0.23,0.0,1,5,9,4,1,0,0.0,0.0,0.0,90,100,34.0,73.86,Zor
Kacper Kozłowski,POL,"MF,FW",21.0,Gaziantep,TUR-Super Lig,2645,29.39,6,2,0.2,0.07,17,35,26,4,6,0,0.0,0.0,0.0,90,40,34.0,38.37,Zor
Kacper Potulski,POL,DF,17.0,Mainz 05,GER-Bundesliga,1065,11.83,1,0,0.08,0.0,5,2,15,19,3,0,0.0,0.0,0.0,90,40,34.0,32.18,Zor
Kaden Rodney,ENG,"DF,MF",20.0,Crystal Palace,ENG-Premier League,4,0.04,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,100,70,38.0,49.02,Zor
Kader Meïté,FRA,FW,17.0,Rennes,FRA-Ligue 1,535,5.94,3,2,0.51,0.34,7,3,2,1,0,0,0.0,0.0,0.0,85,40,34.0,30.1,Zor
